source,target,weight
Falla_Cierre_Valvula_Suministro_T0,Nivel_T0_Critico,3
Falla_Cierre_Valvula_Suministro_T0,Flujo_T0_SinSalida,3
Falla_Cierre_Valvula_Suministro_T0,Proteccion_Valvula_Salida_T0,3
Falla_Cierre_Valvula_Suministro_T0,Nivel_T1_Critico,2
Falla_Cierre_Valvula_Suministro_T0,Proteccion_Valvula_Salida_T1,2
Falla_Cierre_Valvula_Suministro_T0,Nivel_T2_Critico,2
Falla_Cierre_Valvula_Suministro_T0,Proteccion_Valvula_Salida_T2,2
Falla_Cierre_Valvula_Suministro_T0,Parada_Linea_1_Actuadores_T1,2
Falla_Cierre_Valvula_Suministro_T0,Parada_Linea_2_Actuadores_T2,2
Falla_Cierre_Valvula_Suministro_T0,Nivel_T0_Inicial,1
Falla_Cierre_Valvula_Suministro_T0,Flujo_T0_Bajo,1
Falla_Cierre_Valvula_Suministro_T0,Nivel_T0_Alto,1
Falla_Cierre_Valvula_Suministro_T0,Flujo_T0_Irregular,1
Nivel_T0_Critico,Flujo_T0_SinSalida,3
Nivel_T0_Critico,Proteccion_Valvula_Salida_T0,3
Nivel_T0_Critico,Nivel_T1_Critico,2
Nivel_T0_Critico,Proteccion_Valvula_Salida_T1,2
Nivel_T0_Critico,Nivel_T2_Critico,2
Nivel_T0_Critico,Proteccion_Valvula_Salida_T2,2
Nivel_T0_Critico,Parada_Linea_1_Actuadores_T1,2
Nivel_T0_Critico,Parada_Linea_2_Actuadores_T2,2
Nivel_T0_Critico,Nivel_T0_Inicial,1
Nivel_T0_Critico,Flujo_T0_Bajo,1
Nivel_T0_Critico,Nivel_T0_Alto,1
Nivel_T0_Critico,Flujo_T0_Irregular,1
Flujo_T0_SinSalida,Proteccion_Valvula_Salida_T0,3
Flujo_T0_SinSalida,Nivel_T1_Critico,2
Flujo_T0_SinSalida,Proteccion_Valvula_Salida_T1,2
Flujo_T0_SinSalida,Nivel_T2_Critico,2
Flujo_T0_SinSalida,Proteccion_Valvula_Salida_T2,2
Flujo_T0_SinSalida,Parada_Linea_1_Actuadores_T1,2
Flujo_T0_SinSalida,Parada_Linea_2_Actuadores_T2,2
Flujo_T0_SinSalida,Nivel_T0_Inicial,1
Flujo_T0_SinSalida,Flujo_T0_Bajo,1
Flujo_T0_SinSalida,Nivel_T0_Alto,1
Flujo_T0_SinSalida,Flujo_T0_Irregular,1
Proteccion_Valvula_Salida_T0,Nivel_T1_Critico,2
Proteccion_Valvula_Salida_T0,Proteccion_Valvula_Salida_T1,2
Proteccion_Valvula_Salida_T0,Nivel_T2_Critico,2
Proteccion_Valvula_Salida_T0,Proteccion_Valvula_Salida_T2,2
Proteccion_Valvula_Salida_T0,Parada_Linea_1_Actuadores_T1,2
Proteccion_Valvula_Salida_T0,Parada_Linea_2_Actuadores_T2,2
Proteccion_Valvula_Salida_T0,Nivel_T0_Inicial,1
Proteccion_Valvula_Salida_T0,Flujo_T0_Bajo,1
Proteccion_Valvula_Salida_T0,Nivel_T0_Alto,1
Proteccion_Valvula_Salida_T0,Flujo_T0_Irregular,1
Nivel_T1_Critico,Proteccion_Valvula_Salida_T1,3
Nivel_T1_Critico,Nivel_T2_Critico,2
Nivel_T1_Critico,Proteccion_Valvula_Salida_T2,2
Nivel_T1_Critico,Parada_Linea_1_Actuadores_T1,3
Nivel_T1_Critico,Parada_Linea_2_Actuadores_T2,2
Nivel_T1_Critico,Nivel_T1_Inicial,1
Nivel_T1_Critico,Vibracion_Bomba_T1,1
Proteccion_Valvula_Salida_T1,Nivel_T2_Critico,2
Proteccion_Valvula_Salida_T1,Proteccion_Valvula_Salida_T2,2
Proteccion_Valvula_Salida_T1,Parada_Linea_1_Actuadores_T1,3
Proteccion_Valvula_Salida_T1,Parada_Linea_2_Actuadores_T2,2
Proteccion_Valvula_Salida_T1,Nivel_T1_Inicial,1
Proteccion_Valvula_Salida_T1,Vibracion_Bomba_T1,1
Nivel_T2_Critico,Proteccion_Valvula_Salida_T2,3
Nivel_T2_Critico,Parada_Linea_1_Actuadores_T1,2
Nivel_T2_Critico,Parada_Linea_2_Actuadores_T2,3
Nivel_T2_Critico,Nivel_T2_Inicial,1
Nivel_T2_Critico,Mantenimiento_Pendiente_Valvula_T2,1
Proteccion_Valvula_Salida_T2,Parada_Linea_1_Actuadores_T1,2
Proteccion_Valvula_Salida_T2,Parada_Linea_2_Actuadores_T2,3
Proteccion_Valvula_Salida_T2,Nivel_T2_Inicial,1
Proteccion_Valvula_Salida_T2,Mantenimiento_Pendiente_Valvula_T2,1
Parada_Linea_1_Actuadores_T1,Parada_Linea_2_Actuadores_T2,2
Parada_Linea_1_Actuadores_T1,Nivel_T1_Inicial,1
Parada_Linea_1_Actuadores_T1,Vibracion_Bomba_T1,1
Parada_Linea_2_Actuadores_T2,Nivel_T2_Inicial,1
Parada_Linea_2_Actuadores_T2,Mantenimiento_Pendiente_Valvula_T2,1
Nivel_T0_Inicial,Flujo_T0_Bajo,3
Nivel_T0_Inicial,Nivel_T1_Inicial,2
Nivel_T0_Inicial,Nivel_T2_Inicial,2
Nivel_T0_Inicial,Nivel_T0_Alto,1
Nivel_T0_Inicial,Flujo_T0_Irregular,1
Flujo_T0_Bajo,Nivel_T1_Inicial,2
Flujo_T0_Bajo,Nivel_T2_Inicial,2
Flujo_T0_Bajo,Nivel_T0_Alto,1
Flujo_T0_Bajo,Flujo_T0_Irregular,1
Nivel_T1_Inicial,Nivel_T2_Inicial,2
Nivel_T1_Inicial,Vibracion_Bomba_T1,1
Nivel_T2_Inicial,Mantenimiento_Pendiente_Valvula_T2,1
Nivel_T0_Alto,Flujo_T0_Irregular,3
Nivel_T0_Alto,Vibracion_Bomba_T1,2
Flujo_T0_Irregular,Vibracion_Bomba_T1,2
Temperatura_Ambiente_Alta,Mantenimiento_Pendiente_Valvula_T2,2
Temperatura_Ambiente_Alta,Registro_Energia_Alto,2
Mantenimiento_Pendiente_Valvula_T2,Registro_Energia_Alto,2
