tag,type,address,severity,message,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,cluster
Falla_Cierre_Valvula_Suministro_T0,HR,0,Critico,Falla vÃ¡lvula principal al cierre,-0.008275527,0.14904673,0.091732755,0.39553663,0.1804113,0.0034848214,0.929827,-0.045437243,0.14182653,-0.07778321,0.16398853,-0.030850578,0.067529075,0.01542517,-0.66091084,-0.13455772,0
Nivel_T0_Critico,IR,0,Critico,Nivel crÃ­tico en tanque principal T0,-0.019963702,0.15093759,0.045017697,0.3484228,0.2033232,0.05712706,0.8516084,-0.038433198,0.14924112,-0.1043294,0.13528939,-0.014906834,0.13284574,-0.029670073,-0.5970791,-0.17247848,0
Flujo_T0_SinSalida,IR,3,Critico,Falta de salida de flujo del tanque T0,0.05005054,0.086219594,0.035159312,0.3049219,0.26942775,0.005312647,0.82623416,-0.117980756,0.10154796,-0.019603262,0.05454459,-0.050271403,0.086046435,-0.024882693,-0.63294584,-0.059200235,0
Proteccion_Valvula_Salida_T0,HR,1,Critico,ProtecciÃ³n: cierre de vÃ¡lvula de salida tanque T0,0.012174173,0.14898118,-0.00075198966,0.26533204,0.27328557,0.07751446,0.9022304,-0.09267718,0.21104467,-0.07256164,0.10683264,0.020615159,0.037070133,-0.049571965,-0.65353125,-0.13030621,1
Nivel_T1_Critico,IR,1,Critico,Nivel crÃ­tico en tanque T1,-0.018148614,0.18296015,0.11443928,0.28549156,0.22048591,0.0072237668,0.8577285,-0.07478146,0.21252605,-0.008943052,0.17409778,0.04463686,0.13685536,-0.0708637,-0.64797187,-0.119811065,0
Proteccion_Valvula_Salida_T1,HR,4,Critico,ProtecciÃ³n: cierre vÃ¡lvula de salida tanque T1,-0.04251101,0.17640966,0.07350136,0.35035697,0.25665185,0.08851674,0.7710853,-0.09176185,0.1695943,-0.07524698,0.1587936,-0.08341099,0.12903933,-0.0013400995,-0.5953175,-0.08488618,0
Nivel_T2_Critico,IR,2,Critico,Nivel crÃ­tico en tanque T2,-0.06063022,0.08909687,0.054474674,0.34911028,0.16291404,0.0638319,0.83923054,-0.05284398,0.2030689,-0.08633302,0.11240062,0.01946732,0.06443137,-0.061034705,-0.5748382,-0.16943908,0
Proteccion_Valvula_Salida_T2,HR,5,Critico,ProtecciÃ³n: cierre vÃ¡lvula de salida tanque T2,-0.014470673,0.15384065,0.082201384,0.35357308,0.18572794,0.05596739,0.84870535,-0.11971066,0.141967,-0.0053639663,0.11559377,-0.018350089,0.10568618,-0.022949416,-0.5181431,-0.088100545,0
Parada_Linea_1_Actuadores_T1,CO,9,Critico,LÃ­nea de producciÃ³n 1 fuera de servicio,-0.025964117,0.19113341,0.089670256,0.31570828,0.23883136,0.0562382,0.89711595,-0.1525896,0.16629483,-0.03035273,0.108239114,0.03111019,0.14405774,0.016370872,-0.60705465,-0.074337766,0
Parada_Linea_2_Actuadores_T2,CO,10,Critico,LÃ­nea de producciÃ³n 2 fuera de servicio,0.022044456,0.18651354,-0.004761716,0.3214576,0.18050817,0.046754695,0.83572066,-0.114354275,0.18570833,-0.08754208,0.08235466,0.04549305,0.06938777,-0.023045259,-0.5759567,-0.16130087,0
Nivel_T0_Inicial,IR,0,Alta,Nivel fuera de rango en tanque T0,-0.050213072,0.114809126,0.0821341,0.29067284,0.15956062,0.06978517,0.84661114,-0.13036415,0.16343154,-0.065073915,0.1063966,-0.07986081,0.09729679,-0.054890703,-0.5707002,-0.12791097,0
Flujo_T0_Bajo,IR,3,Alta,Bajo flujo en salida tanque T0,0.006056501,0.09163314,0.03206488,0.33962682,0.26065454,0.03230612,0.7939372,-0.06768392,0.16988768,-0.032117087,0.06961676,-0.024788395,0.12895273,0.019224657,-0.62445843,-0.109439775,0
Nivel_T1_Inicial,IR,1,Alta,Nivel fuera de rango en tanque T1,0.022235278,0.12715016,0.025579471,0.3200772,0.25227088,0.059947003,0.67420375,-0.07753882,0.14102072,-0.09326199,0.04041328,-0.025821429,0.077747546,-0.054336462,-0.5243572,-0.14526144,1
Nivel_T2_Inicial,IR,2,Alta,Nivel fuera de rango en tanque T2,-0.05703809,0.16134973,0.01582056,0.2689627,0.2628656,0.046685167,0.8025096,-0.12343354,0.1798003,0.016956195,0.044089284,-0.05057859,0.029963857,-0.052686907,-0.5587827,-0.16274504,1
Nivel_T0_Alto,IR,0,Media,Nivel tanque T0 cercano al mÃ¡ximo,-0.01743841,0.10385952,0.007583908,0.28527954,0.24067879,0.020061966,0.865738,-0.07916347,0.11377875,0.008005725,0.15388262,0.01938872,0.036713198,0.011107287,-0.5474864,-0.08704208,0
Flujo_T0_Irregular,IR,3,Media,VariaciÃ³n inusual en flujo del tanque T0,0.044885643,0.112733185,0.10733138,0.36539066,0.19605547,0.07129979,0.9062048,-0.14364403,0.121998474,-0.06959678,0.06196422,-0.029838264,0.08420477,-0.005709928,-0.6101973,-0.12904038,0
Vibracion_Bomba_T1,HR,6,Media,VibraciÃ³n elevada en bomba asociada a tanque T1,0.023348616,0.0712427,0.05693687,0.26985702,0.19445363,-0.015828919,0.65391564,-0.034881312,0.14186639,-0.07524675,0.1335796,-0.025581803,0.11658321,-0.05216623,-0.47075027,-0.04336761,0
Temperatura_Ambiente_Alta,IR,6,Baja,Temperatura ambiente elevada en sala de control,0.036875967,0.13685833,-0.008822288,0.33741394,0.2884692,0.028291281,0.8425122,-0.058299445,0.2063778,-0.03638398,0.15231375,-0.080777586,0.002838034,0.044307224,-0.5558948,-0.15702066,1
Mantenimiento_Pendiente_Valvula_T2,CO,11,Baja,RevisiÃ³n pendiente de vÃ¡lvula T2,-0.06984641,0.1589713,-0.0063972143,0.27473405,0.2525494,0.08636783,0.8418504,-0.12735835,0.21521936,0.0012976343,0.07858214,-0.08940441,0.09173778,0.02554192,-0.5621679,-0.18665315,1
Registro_Energia_Alto,HR,7,Baja,Consumo elÃ©ctrico del motor en rango alto,-0.04871967,0.1404792,0.016986785,0.32548642,0.23505117,0.07887756,0.7353246,-0.10453415,0.12737618,-0.046323206,0.10051716,-0.045762744,0.0069142543,-0.06742171,-0.569853,-0.17144716,1
